LSOA21CD,PM25-2013-min,PM25-2013-max,PM25-2013-mean,PM25-2013-std,PM25-2013-median,PM25-2016-min,PM25-2016-max,PM25-2016-mean,PM25-2016-std,PM25-2016-median,PM25-2019-min,PM25-2019-max,PM25-2019-mean,PM25-2019-std,PM25-2019-median,PM10-2013-min,PM10-2013-max,PM10-2013-mean,PM10-2013-std,PM10-2013-median,PM10-2016-min,PM10-2016-max,PM10-2016-mean,PM10-2016-std,PM10-2016-median,PM10-2019-min,PM10-2019-max,PM10-2019-mean,PM10-2019-std,PM10-2019-median,NOx-2013-min,NOx-2013-max,NOx-2013-mean,NOx-2013-std,NOx-2013-median,NOx-2016-min,NOx-2016-max,NOx-2016-mean,NOx-2016-std,NOx-2016-median,NOx-2019-min,NOx-2019-max,NOx-2019-mean,NOx-2019-std,NOx-2019-median,NO2-2013-min,NO2-2013-max,NO2-2013-mean,NO2-2013-std,NO2-2013-median,NO2-2016-min,NO2-2016-max,NO2-2016-mean,NO2-2016-std,NO2-2016-median,NO2-2019-min,NO2-2019-max,NO2-2019-mean,NO2-2019-std,NO2-2019-median
E01002747,16.473,19.767,16.815,0.596,16.584,13.704,17.319,14.024,0.612,13.809,11.086,14.321,11.332,0.546,11.157,25.678,34.381,26.619,1.621,25.988,22.596,32.651,23.515,1.735,22.89,17.092,28.037,17.974,1.937,17.356,61.016,207.968,77.567,28.626,66.609,69.003,208.848,82.384,25.73,73.236,45.799,121.388,51.523,12.063,47.69,37.473,84.017,43.189,9.268,39.574,38.6,71.488,42.147,6.337,39.849,29.954,51.843,31.717,3.646,30.545
E01002748,16.486,21.647,16.817,0.663,16.577,13.718,19.102,14.056,0.68,13.819,11.111,16.505,11.41,0.536,11.222,25.631,39.621,26.41,1.736,25.858,22.591,38.007,23.38,1.848,22.813,17.113,36.066,17.893,1.71,17.392,59.527,323.179,73.865,31.783,63.733,68.122,312.242,79.511,28.986,70.848,46.021,168.423,54.207,13.715,49.042,36.916,113.581,41.741,10.055,38.411,38.371,87.591,41.279,6.467,39.152,30.05,64.282,32.435,3.855,30.983
E01002749,16.45,18.478,16.686,0.421,16.541,13.701,16.061,13.911,0.44,13.773,11.083,13.415,11.221,0.33,11.122,25.579,31.207,26.235,1.146,25.833,22.54,29.277,23.155,1.253,22.759,17.059,25.556,17.525,1.213,17.181,59.129,152.136,69.285,18.157,62.875,68.039,159.644,75.782,16.009,70.843,45.532,93.238,48.348,6.713,46.4,36.772,67.64,40.442,6.236,38.228,38.378,61.864,40.534,4.228,39.191,29.909,44.509,30.82,2.106,30.168
E01002751,16.586,20.715,16.992,0.65,16.736,13.854,17.675,14.253,0.663,13.999,11.279,17.704,11.667,0.72,11.422,25.873,37.464,26.943,1.757,26.297,22.936,34.294,24.055,1.907,23.363,17.51,38.388,18.675,2.311,17.914,63.776,262.309,81.068,30.143,70.293,72.094,235.49,86.408,25.598,77.393,50.108,204.311,59.049,16.462,53.5,38.569,98.235,44.767,9.739,41.136,39.651,75.843,43.533,6.201,41.281,31.486,72.437,34.358,4.764,32.661
E01002752,16.451,17.497,16.617,0.215,16.546,13.7,14.283,13.837,0.137,13.788,11.104,11.652,11.208,0.112,11.178,25.557,28.379,25.982,0.579,25.776,22.517,24.128,22.873,0.378,22.73,17.064,18.983,17.372,0.401,17.251,58.263,103.736,64.72,9.328,61.537,67.603,88.467,72.0,4.643,70.179,45.575,56.679,47.617,2.278,46.954,36.453,52.792,38.894,3.382,37.697,38.263,44.422,39.61,1.38,39.079,29.961,33.664,30.677,0.757,30.482
E01002753,16.025,17.425,16.248,0.298,16.132,13.403,14.988,13.616,0.311,13.499,10.899,12.485,11.091,0.282,10.992,25.063,28.411,25.504,0.688,25.252,22.126,26.232,22.595,0.772,22.325,16.676,21.185,17.196,0.789,16.943,57.252,115.664,67.289,15.658,60.051,66.002,126.474,73.185,11.949,68.418,44.639,81.084,48.804,6.603,46.204,35.723,55.708,39.058,4.954,36.813,37.437,52.779,39.452,3.12,38.188,29.227,40.531,30.599,2.078,29.788
E01002754,15.884,18.92,16.293,0.548,16.104,13.28,16.583,13.678,0.552,13.491,10.834,15.268,11.274,0.645,11.065,24.884,33.142,25.923,1.484,25.397,21.989,30.905,23.044,1.561,22.508,16.541,30.649,17.967,2.059,17.284,55.12,182.842,70.976,23.104,62.503,64.843,201.515,78.896,21.312,71.546,44.554,137.411,54.039,14.153,49.272,34.951,76.688,40.663,7.801,37.837,36.98,68.807,40.884,5.347,39.007,29.095,56.135,32.152,4.302,30.713
E01002755,15.909,17.975,16.154,0.41,16.008,13.275,15.619,13.512,0.415,13.371,10.8,15.359,11.023,0.42,10.892,24.864,30.486,25.512,1.119,25.105,21.885,28.593,22.549,1.195,22.133,16.377,31.996,17.146,1.542,16.668,54.248,148.078,65.346,18.885,58.493,63.706,149.72,72.742,15.654,67.151,43.156,137.622,47.822,8.737,45.03,34.659,66.617,38.667,6.51,36.294,36.639,58.939,39.169,4.153,37.711,28.591,55.045,30.109,2.568,29.255
E01002756,15.932,17.313,16.076,0.19,16.021,13.288,14.872,13.432,0.197,13.376,10.81,12.296,10.965,0.224,10.899,24.847,28.432,25.232,0.495,25.083,21.834,26.154,22.24,0.536,22.1,16.304,20.718,16.804,0.679,16.613,53.359,119.4,60.263,8.924,57.612,63.028,136.742,69.268,9.074,66.811,42.598,80.556,46.62,5.854,44.867,34.313,57.697,36.978,3.326,35.985,36.457,55.237,38.285,2.472,37.616,28.453,40.466,29.795,1.867,29.234
E01002757,15.856,17.488,15.939,0.148,15.898,13.244,15.095,13.321,0.152,13.281,10.776,12.642,10.899,0.242,10.827,24.788,29.183,24.995,0.388,24.893,21.871,27.159,22.073,0.422,21.974,16.351,22.578,16.698,0.704,16.507,53.557,127.147,56.411,6.072,55.038,63.252,131.228,65.66,5.226,64.508,43.212,81.733,45.848,4.975,44.507,34.349,60.075,35.491,2.209,34.946,36.507,54.702,37.238,1.447,36.897,28.623,41.543,29.526,1.651,29.069
