LSOA21CD,PM25-2013-min,PM25-2013-max,PM25-2013-mean,PM25-2013-std,PM25-2013-median,PM25-2016-min,PM25-2016-max,PM25-2016-mean,PM25-2016-std,PM25-2016-median,PM25-2019-min,PM25-2019-max,PM25-2019-mean,PM25-2019-std,PM25-2019-median,PM10-2013-min,PM10-2013-max,PM10-2013-mean,PM10-2013-std,PM10-2013-median,PM10-2016-min,PM10-2016-max,PM10-2016-mean,PM10-2016-std,PM10-2016-median,PM10-2019-min,PM10-2019-max,PM10-2019-mean,PM10-2019-std,PM10-2019-median,NOx-2013-min,NOx-2013-max,NOx-2013-mean,NOx-2013-std,NOx-2013-median,NOx-2016-min,NOx-2016-max,NOx-2016-mean,NOx-2016-std,NOx-2016-median,NOx-2019-min,NOx-2019-max,NOx-2019-mean,NOx-2019-std,NOx-2019-median,NO2-2013-min,NO2-2013-max,NO2-2013-mean,NO2-2013-std,NO2-2013-median,NO2-2016-min,NO2-2016-max,NO2-2016-mean,NO2-2016-std,NO2-2016-median,NO2-2019-min,NO2-2019-max,NO2-2019-mean,NO2-2019-std,NO2-2019-median
E01000001,17.645,23.13,18.628,1.043,18.19,15.14,38.534,16.275,2.804,15.407,12.721,20.29,13.538,1.572,13.001,27.29,40.915,29.602,2.529,28.499,25.136,85.981,27.823,7.135,25.503,21.401,43.266,23.783,4.297,22.331,74.74,368.453,116.488,46.721,96.488,88.004,1119.726,128.9,115.48,92.58,60.324,280.432,80.379,46.478,62.718,43.215,127.25,57.812,14.922,51.574,45.633,215.204,54.783,21.612,47.057,36.56,99.753,42.849,13.774,37.413
E01000002,17.574,20.011,17.895,0.418,17.777,15.079,27.277,15.584,1.473,15.265,12.688,20.162,13.058,0.908,12.879,27.136,32.269,27.884,0.957,27.595,24.988,53.434,26.113,3.468,25.276,21.6,42.033,22.696,2.531,22.205,72.606,191.722,86.478,17.184,81.608,87.382,511.24,103.693,51.553,91.147,59.658,271.6,67.701,26.47,61.477,42.382,80.745,47.683,6.433,45.854,45.41,135.877,49.559,11.764,46.513,36.269,95.861,38.842,7.779,36.952
E01000003,17.589,20.257,17.874,0.386,17.752,14.986,20.698,15.286,0.786,15.122,12.562,21.677,12.878,0.94,12.716,27.199,33.67,27.874,0.983,27.558,24.934,39.803,25.65,2.068,25.177,20.947,48.336,21.895,2.812,21.451,74.267,189.02,85.769,16.943,80.407,87.152,293.129,97.028,29.204,90.175,60.223,299.871,67.631,24.852,62.381,42.915,81.494,47.176,5.882,45.236,45.277,93.024,47.889,6.878,46.201,36.324,102.146,38.78,7.161,37.21
E01000005,17.588,30.743,18.449,1.449,17.928,14.831,34.406,15.958,2.468,15.143,12.406,22.884,13.408,1.425,12.986,27.253,59.832,29.724,3.799,28.398,24.78,83.626,27.72,7.396,25.118,20.569,61.689,23.963,4.975,22.484,76.567,893.091,132.11,89.434,101.741,84.059,1029.032,131.193,120.749,88.186,56.971,329.421,73.946,36.539,59.306,43.723,234.123,61.116,23.241,52.928,44.227,207.011,54.13,22.014,45.419,35.009,97.698,39.982,9.863,35.827
E01000006,15.629,15.954,15.773,0.067,15.775,12.864,13.174,12.978,0.061,12.98,10.431,11.604,10.605,0.101,10.599,24.327,25.023,24.577,0.147,24.568,21.266,22.095,21.524,0.165,21.508,15.846,18.664,16.258,0.26,16.222,46.913,57.438,51.315,2.19,51.291,54.121,62.589,56.692,1.646,56.567,37.461,61.593,40.265,2.399,39.843,31.127,34.916,32.585,0.773,32.558,32.77,35.47,33.606,0.526,33.562,25.608,34.197,26.619,0.793,26.487
E01000007,15.784,18.74,16.189,0.56,16.009,13.033,16.55,13.414,0.631,13.215,10.621,15.247,11.018,0.576,10.834,24.629,31.568,25.558,1.333,25.126,21.525,30.385,22.519,1.566,22.041,16.228,28.554,17.471,1.653,16.961,53.603,164.944,67.77,17.516,61.503,58.879,145.807,69.259,16.07,64.069,40.379,145.201,49.244,12.93,44.881,33.76,68.003,38.692,6.1,36.587,34.426,57.605,37.439,4.412,35.979,26.81,57.124,29.664,3.918,28.329
E01000008,15.749,23.671,16.195,0.825,15.943,13.025,19.761,13.462,0.783,13.221,10.668,21.77,11.356,1.097,11.002,24.642,47.754,25.873,2.28,25.224,21.545,42.577,22.815,2.289,22.143,16.438,53.606,18.818,3.56,17.738,52.994,333.414,69.024,28.781,59.926,59.108,277.201,72.902,24.593,65.305,41.438,259.456,56.578,23.04,49.291,33.822,120.43,39.927,9.81,36.811,34.513,84.056,38.562,6.195,36.569,27.244,83.009,32.13,6.559,30.028
E01000009,15.798,18.854,16.118,0.491,15.959,12.987,16.768,13.326,0.609,13.142,10.658,13.742,10.993,0.484,10.823,24.595,32.198,25.401,1.256,24.983,21.528,31.614,22.443,1.623,21.953,16.395,26.022,17.404,1.555,16.865,51.263,176.081,63.376,18.059,57.389,56.701,177.18,68.382,20.301,61.673,40.221,121.497,47.892,11.116,43.968,32.614,75.034,37.16,6.495,34.97,33.642,63.701,36.96,5.255,35.175,26.72,48.96,29.211,3.411,27.958
E01000011,15.715,17.451,15.954,0.293,15.884,12.947,15.085,13.186,0.321,13.122,10.552,12.251,10.721,0.163,10.693,24.477,29.077,25.069,0.799,24.871,21.379,27.724,22.062,0.965,21.865,16.055,21.177,16.61,0.604,16.489,48.646,127.238,58.718,13.349,55.665,56.461,155.016,65.481,14.945,61.707,38.343,72.411,41.448,3.402,40.839,31.862,59.367,35.499,4.789,34.306,33.588,57.896,36.139,3.824,35.212,26.116,37.402,27.152,1.117,26.958
E01000012,15.713,17.309,15.836,0.16,15.8,12.967,15.207,13.115,0.211,13.073,10.548,12.853,10.689,0.158,10.667,24.479,28.832,24.783,0.403,24.709,21.38,27.996,21.728,0.597,21.611,16.032,23.008,16.479,0.499,16.408,50.749,121.878,59.785,11.703,56.652,57.057,156.635,62.365,9.325,60.389,38.773,84.702,42.342,3.577,41.781,32.576,57.513,35.507,3.451,34.661,33.827,58.277,35.409,2.397,34.885,26.29,41.165,27.501,1.174,27.329
E01000013,15.22,18.202,15.545,0.508,15.373,12.556,15.676,12.863,0.528,12.695,10.148,13.849,10.379,0.448,10.262,23.639,31.671,24.479,1.362,24.009,20.437,29.235,21.333,1.478,20.853,15.003,25.94,15.678,1.34,15.325,41.104,164.069,52.235,18.512,46.011,47.394,181.823,57.326,18.039,51.611,32.314,148.982,38.586,13.729,34.814,28.214,68.829,32.469,6.493,30.204,29.812,60.878,32.722,4.574,31.215,23.007,54.124,25.091,3.861,23.956
E01000014,15.207,17.88,15.312,0.234,15.26,12.544,15.493,12.649,0.232,12.597,10.101,12.183,10.196,0.204,10.155,23.651,30.814,23.91,0.635,23.758,20.519,28.688,20.772,0.643,20.642,14.903,21.771,15.146,0.658,15.007,39.46,120.003,43.994,8.246,42.171,47.346,125.196,50.292,7.088,48.7,31.705,84.873,33.685,5.01,32.898,28.071,56.672,29.573,2.92,28.936,30.095,50.6,30.897,1.898,30.484,23.068,38.622,23.67,1.488,23.412
E01000015,15.137,16.593,15.321,0.212,15.266,12.499,14.023,12.636,0.212,12.584,10.147,11.257,10.232,0.121,10.201,23.493,27.121,23.872,0.537,23.717,20.35,24.407,20.743,0.567,20.586,15.123,18.69,15.583,0.425,15.476,39.042,84.596,43.863,6.622,42.118,45.898,90.533,49.767,6.25,48.047,31.016,54.538,33.264,2.886,32.546,27.433,44.726,29.306,2.586,28.568,29.315,42.122,30.512,1.84,30.011,22.49,30.279,23.297,0.97,23.062
E01000016,15.147,16.84,15.292,0.256,15.223,12.493,14.114,12.644,0.251,12.579,10.125,12.162,10.265,0.232,10.208,23.508,28.247,23.895,0.724,23.707,20.32,24.972,20.697,0.731,20.504,15.146,21.778,15.505,0.736,15.326,39.35,100.895,45.358,9.307,43.137,45.927,99.402,50.751,8.404,48.629,31.102,84.621,34.484,5.947,33.059,27.529,49.706,29.725,3.42,28.868,29.307,43.99,30.744,2.346,30.145,22.542,38.472,23.676,1.841,23.222
E01000017,15.175,17.048,15.329,0.266,15.261,12.537,14.453,12.677,0.23,12.623,10.166,12.329,10.3,0.238,10.242,23.603,28.653,23.996,0.738,23.799,20.376,25.99,20.749,0.676,20.586,15.053,22.344,15.478,0.791,15.288,40.852,117.578,46.962,10.156,44.298,47.302,113.472,51.686,8.053,49.589,32.462,86.131,35.592,6.353,33.956,28.179,55.209,30.365,3.691,29.383,29.846,47.244,31.098,2.206,30.517,23.13,38.934,24.118,1.931,23.625
E01000018,15.163,15.691,15.255,0.072,15.239,12.503,13.124,12.602,0.077,12.587,10.145,10.587,10.223,0.062,10.207,23.512,24.894,23.734,0.186,23.692,20.332,22.072,20.559,0.212,20.492,15.127,16.407,15.325,0.178,15.285,39.092,58.406,42.852,2.576,42.441,45.852,67.225,48.726,2.551,48.102,31.054,43.291,33.219,1.677,32.836,27.458,34.962,28.821,1.003,28.63,29.303,35.67,30.206,0.79,30.005,22.533,26.651,23.298,0.582,23.168
E01000019,15.233,15.803,15.333,0.087,15.314,12.55,13.121,12.672,0.086,12.658,10.097,10.579,10.2,0.067,10.188,23.666,25.226,23.892,0.239,23.833,20.49,22.13,20.777,0.259,20.722,14.897,16.169,15.112,0.18,15.066,40.552,59.964,44.55,2.842,44.071,48.011,63.445,50.357,2.342,49.735,32.417,41.805,34.061,1.307,33.727,28.274,35.524,29.584,1.094,29.364,30.29,34.847,30.975,0.708,30.774,23.364,26.677,23.874,0.457,23.742
E01000020,15.292,16.527,15.402,0.149,15.356,12.632,14.015,12.755,0.158,12.712,10.162,12.161,10.362,0.292,10.284,23.777,27.296,24.079,0.436,23.941,20.62,24.78,20.982,0.488,20.821,15.029,20.482,15.543,0.818,15.306,42.624,93.24,47.453,6.222,45.584,48.99,100.316,52.633,5.939,50.916,33.199,74.022,36.735,5.706,35.13,28.922,47.118,30.592,2.274,29.94,30.51,44.247,31.582,1.638,31.118,23.582,36.863,24.748,1.894,24.211
E01000021,15.261,18.676,15.522,0.41,15.4,12.619,16.123,12.921,0.418,12.803,10.127,13.697,10.392,0.41,10.268,23.728,32.165,24.341,1.029,24.014,20.756,30.385,21.683,1.185,21.339,14.996,25.378,15.701,1.21,15.331,41.947,159.957,49.798,12.923,45.912,48.882,144.39,55.226,11.431,51.813,32.945,103.201,37.679,8.084,35.174,28.745,70.434,31.766,4.833,30.274,30.603,55.612,32.57,3.193,31.575,23.587,45.613,25.211,2.675,24.347
E01000022,15.305,15.498,15.375,0.038,15.371,12.674,12.949,12.773,0.05,12.77,10.203,10.428,10.286,0.039,10.278,23.801,24.234,23.951,0.085,23.936,20.797,21.768,21.11,0.198,21.081,15.123,15.724,15.354,0.108,15.341,43.681,48.825,45.976,0.988,45.879,49.484,55.09,51.234,0.973,51.057,33.653,37.612,34.983,0.699,34.812,29.197,31.395,30.08,0.396,30.058,30.718,32.54,31.308,0.337,31.266,23.722,25.172,24.21,0.266,24.139
E01000024,15.352,18.166,15.621,0.481,15.47,12.763,16.129,13.044,0.48,12.895,10.258,13.495,10.533,0.502,10.377,23.9,31.392,24.577,1.259,24.172,21.091,30.401,21.938,1.311,21.556,15.309,25.239,16.164,1.578,15.667,44.927,130.865,52.853,14.203,48.49,50.742,134.065,57.092,12.289,53.41,34.276,91.514,39.12,9.051,36.23,29.803,60.685,32.846,5.299,31.162,31.169,54.103,33.127,3.481,32.041,23.974,42.389,25.621,2.953,24.665
E01000025,15.352,17.641,15.518,0.216,15.479,12.782,14.905,12.981,0.209,12.95,10.261,13.023,10.363,0.202,10.322,23.893,29.785,24.24,0.557,24.12,21.216,27.073,21.93,0.611,21.852,15.327,23.749,15.608,0.616,15.475,44.316,110.507,48.616,6.094,47.444,50.393,103.24,53.76,5.196,52.688,34.129,84.014,36.164,3.768,35.385,29.708,54.459,31.358,2.365,30.901,31.134,46.432,32.261,1.545,31.944,23.931,40.181,24.682,1.269,24.391
E01000027,14.755,17.551,14.951,0.263,14.881,11.938,15.071,12.095,0.259,12.031,9.598,11.89,9.749,0.202,9.687,22.911,29.897,23.307,0.646,23.133,19.368,27.702,19.769,0.706,19.608,13.86,20.35,14.256,0.586,14.082,32.884,112.71,37.407,7.869,35.129,40.973,121.302,44.618,6.777,42.914,27.932,74.181,30.433,3.861,29.238,24.651,54.119,26.445,2.942,25.581,27.246,49.281,28.471,1.964,27.962,21.044,35.888,21.996,1.318,21.596
E01000028,14.946,15.771,15.032,0.067,15.021,12.096,12.958,12.207,0.075,12.191,9.838,10.697,9.928,0.071,9.915,23.234,25.139,23.413,0.147,23.386,19.582,21.566,19.785,0.165,19.751,14.362,16.799,14.57,0.192,14.527,36.928,60.546,39.423,1.756,39.236,43.952,65.528,46.044,1.687,45.714,30.619,47.253,32.011,1.282,31.7,26.294,36.189,27.292,0.737,27.175,28.418,35.345,29.134,0.558,29.019,22.227,28.16,22.732,0.466,22.612
E01000029,15.048,18.89,15.405,0.639,15.218,12.223,16.005,12.577,0.614,12.409,9.929,13.264,10.207,0.528,10.056,23.414,34.579,24.226,1.546,23.777,19.803,30.051,20.635,1.544,20.198,14.553,24.18,15.285,1.541,14.815,39.497,192.677,49.772,19.074,44.318,46.101,161.279,54.638,17.259,49.655,31.328,95.208,37.12,10.944,33.892,27.313,74.538,31.229,7.067,29.121,29.191,56.464,31.717,4.758,30.31,22.607,42.888,24.489,3.565,23.426
E01000030,14.974,21.613,15.427,0.8,15.166,12.079,19.087,12.493,0.724,12.278,9.764,19.689,10.228,0.807,9.98,23.254,38.24,24.256,1.875,23.634,19.569,36.348,20.521,1.775,19.965,14.208,41.633,15.43,2.263,14.715,36.024,258.345,49.231,24.066,41.54,43.646,270.637,54.104,20.412,47.856,29.971,214.723,38.527,16.043,33.375,26.026,98.39,30.994,8.653,28.101,28.301,78.85,31.414,5.361,29.682,21.955,72.143,24.825,4.895,23.187
E01000031,14.867,29.406,15.347,0.73,15.164,11.982,29.371,12.465,0.746,12.295,9.66,28.446,10.136,0.805,9.959,23.052,59.221,24.204,2.02,23.675,19.369,65.081,20.597,2.109,20.09,13.956,65.992,15.175,2.225,14.67,33.373,528.407,48.109,27.274,41.015,41.556,574.546,53.777,23.719,48.16,28.36,402.883,36.602,15.513,32.948,24.984,165.587,30.41,8.719,28.052,27.549,125.201,31.152,5.433,29.768,21.319,110.132,24.205,4.575,23.076
E01000032,15.025,17.984,15.2,0.305,15.132,12.293,15.703,12.484,0.285,12.414,9.929,14.776,10.142,0.424,10.04,23.333,30.832,23.734,0.768,23.56,19.877,29.123,20.38,0.779,20.185,14.468,28.925,15.032,1.283,14.72,37.345,133.783,43.295,9.766,41.379,44.979,144.797,49.342,7.912,47.542,30.597,125.981,34.888,9.262,32.621,26.648,62.604,28.846,3.757,28.032,28.955,56.067,30.309,2.294,29.729,22.377,51.358,23.819,2.901,23.077
E01000033,14.961,17.774,15.181,0.295,15.116,12.256,15.4,12.524,0.323,12.462,9.928,11.43,10.167,0.189,10.13,23.238,30.366,23.732,0.749,23.563,20.028,28.273,20.699,0.848,20.525,15.334,19.26,16.077,0.544,15.97,37.083,113.291,43.209,7.817,41.471,44.425,122.711,49.627,8.119,47.801,30.018,58.852,33.046,3.165,32.225,26.504,54.473,28.853,3.007,28.16,28.69,49.843,30.324,2.288,29.79,21.99,31.851,23.105,1.122,22.825
E01000034,14.919,16.467,15.04,0.207,14.978,12.121,14.183,12.304,0.237,12.212,9.814,11.765,9.978,0.234,9.893,23.161,26.787,23.429,0.488,23.289,19.69,24.876,20.188,0.624,19.953,14.779,20.739,15.56,0.916,15.157,35.577,83.526,39.558,6.411,37.809,43.247,95.673,46.389,6.102,44.689,29.159,71.247,31.514,4.693,30.404,26.044,44.463,27.487,2.503,26.815,28.078,43.515,29.235,1.819,28.671,21.646,35.296,22.464,1.548,22.051
E01000035,14.982,17.97,15.317,0.439,15.186,12.423,15.836,12.727,0.46,12.602,10.15,13.943,10.417,0.419,10.306,23.262,30.632,24.009,1.099,23.659,20.482,29.792,21.348,1.208,21.006,15.651,26.624,17.52,1.299,17.324,36.363,127.854,46.483,13.134,42.446,44.996,152.285,52.794,13.142,48.793,29.692,101.535,35.032,7.912,32.693,26.412,59.701,30.192,4.939,28.601,29.001,56.105,31.303,3.583,30.179,21.921,44.794,23.812,2.646,23.007
E01000036,14.977,17.559,15.153,0.26,15.098,12.22,15.708,12.528,0.295,12.512,9.885,13.147,10.239,0.254,10.221,23.177,29.785,23.589,0.643,23.481,20.304,29.517,20.967,0.725,20.856,15.793,25.127,17.216,0.891,17.134,34.927,116.404,40.908,8.209,39.057,42.644,139.141,47.781,7.959,46.296,28.529,85.134,31.879,4.368,31.117,25.84,55.79,28.089,3.028,27.445,28.052,53.398,29.79,2.232,29.428,21.393,39.919,22.679,1.503,22.497
E01000037,14.966,16.336,15.089,0.179,15.055,12.14,13.804,12.284,0.215,12.24,9.844,11.512,9.986,0.174,9.955,23.255,26.454,23.539,0.422,23.455,19.712,23.72,20.03,0.525,19.913,14.868,19.56,15.194,0.494,15.097,37.404,81.071,42.284,5.577,41.36,43.775,91.433,47.252,6.219,45.937,29.97,69.65,32.794,4.211,31.948,26.625,43.401,28.237,2.196,27.846,28.206,42.104,29.308,1.828,28.897,21.861,34.495,22.759,1.387,22.476
E01000038,14.973,16.594,15.126,0.205,15.089,12.183,13.94,12.33,0.198,12.293,9.842,12.122,10.011,0.249,9.966,23.273,27.046,23.63,0.48,23.54,19.812,24.045,20.14,0.481,20.045,14.78,20.491,15.154,0.629,15.03,37.104,89.859,42.976,6.621,41.795,44.055,96.895,48.114,6.081,46.952,29.815,86.371,33.58,6.194,32.476,26.568,46.72,28.643,2.588,28.171,28.459,43.537,29.666,1.776,29.317,21.874,40.161,23.117,2.05,22.748
E01000039,14.875,16.384,14.975,0.12,14.962,12.047,13.926,12.228,0.174,12.18,9.733,12.935,9.916,0.214,9.847,23.092,26.66,23.244,0.284,23.189,19.581,24.43,20.207,0.528,20.089,14.613,24.008,15.793,1.24,15.262,34.542,80.057,36.495,3.744,35.536,41.895,93.316,43.851,3.714,43.025,28.25,91.699,29.63,3.232,28.958,25.613,43.297,26.355,1.466,26.012,27.618,42.606,28.387,1.163,28.111,21.232,42.296,21.758,1.103,21.518
E01000040,15.547,17.601,15.725,0.268,15.653,12.812,15.641,13.005,0.337,12.928,10.379,12.49,10.541,0.218,10.485,24.222,29.183,24.646,0.673,24.452,21.169,28.371,21.626,0.876,21.415,15.673,20.966,16.145,0.646,15.953,45.709,117.05,52.437,9.186,50.025,53.183,135.946,58.561,10.164,56.106,37.035,86.826,39.876,4.339,38.851,30.648,55.018,33.102,3.425,32.124,32.392,54.837,33.984,2.805,33.302,25.387,41.595,26.355,1.446,26.002
E01000041,15.359,17.47,15.652,0.362,15.539,12.695,14.868,12.934,0.334,12.839,10.244,15.426,10.496,0.485,10.376,23.939,29.74,24.669,0.99,24.352,20.884,27.602,21.607,0.988,21.325,15.2,30.103,15.962,1.397,15.609,44.45,136.579,55.116,15.675,50.32,50.746,140.366,59.099,12.747,55.521,34.416,153.483,40.104,10.607,37.425,29.802,60.195,33.751,5.319,32.058,31.292,52.501,33.717,3.239,32.804,24.18,57.873,26.154,3.226,25.292
E01000042,15.43,18.039,15.599,0.202,15.556,12.713,15.412,12.859,0.191,12.813,10.269,13.588,10.497,0.352,10.409,24.038,30.575,24.44,0.551,24.322,20.996,28.055,21.352,0.553,21.228,15.37,24.655,15.983,0.912,15.771,43.405,121.537,49.637,7.339,47.968,51.247,124.41,55.44,5.674,54.23,35.393,109.75,39.983,7.429,38.215,29.814,58.803,32.051,2.638,31.469,31.661,51.748,32.919,1.579,32.568,24.716,47.081,26.295,2.458,25.679
E01000043,15.607,20.306,15.881,0.531,15.718,12.856,16.836,13.148,0.526,13.001,10.483,15.031,10.797,0.62,10.606,24.453,39.092,25.195,1.544,24.732,21.353,34.305,22.134,1.605,21.673,16.043,33.261,17.122,2.119,16.463,49.115,219.625,60.032,19.373,53.681,55.915,176.51,63.829,16.063,59.111,39.18,139.912,46.244,13.562,41.894,32.071,84.301,35.847,6.44,33.651,33.127,61.77,35.393,4.127,34.164,26.102,54.347,28.315,4.061,26.976
E01000044,15.623,20.681,16.029,0.687,15.833,12.862,19.939,13.237,0.77,13.041,10.43,13.458,10.727,0.328,10.638,24.319,36.943,25.218,1.721,24.723,21.262,39.68,22.167,2.002,21.671,15.839,25.408,16.702,1.046,16.455,46.865,198.656,63.779,22.822,55.707,54.132,251.936,64.519,21.461,59.029,37.663,91.313,44.692,7.129,42.178,31.107,83.068,36.815,7.766,34.194,32.764,78.561,35.75,5.331,34.313,25.656,42.437,27.919,2.22,27.189
E01000045,15.489,24.945,16.178,1.267,15.741,12.737,22.536,13.366,1.118,12.969,10.327,17.031,11.163,1.273,10.662,24.229,53.197,26.162,3.824,24.868,21.154,52.591,22.996,3.536,21.755,15.583,39.034,18.337,4.237,16.685,46.827,374.263,69.962,44.179,54.421,53.062,340.925,71.91,33.668,59.772,36.844,201.162,54.298,26.946,43.868,31.018,123.232,39.135,13.622,34.139,32.074,89.138,37.172,7.845,34.192,25.053,65.862,30.471,7.579,27.496
E01000046,15.4,17.157,15.542,0.215,15.487,12.701,14.559,12.816,0.227,12.753,10.216,10.9,10.319,0.092,10.297,24.042,29.295,24.416,0.664,24.236,21.001,26.923,21.382,0.722,21.196,15.187,17.194,15.547,0.299,15.506,45.625,120.53,50.331,9.095,47.768,51.552,115.151,55.248,7.502,53.214,34.506,47.826,36.555,1.766,36.255,30.395,54.944,32.078,3.089,31.182,31.55,47.5,32.615,1.957,32.088,24.223,29.105,24.938,0.639,24.828
E01000049,15.833,21.635,16.261,0.846,15.993,13.016,17.486,13.419,0.76,13.152,10.616,17.922,11.282,1.219,10.847,24.816,43.156,26.118,2.692,25.212,21.718,36.92,23.108,2.555,22.207,16.669,41.057,19.007,4.144,17.547,52.538,267.842,68.045,31.268,57.24,58.594,200.282,71.402,23.896,62.874,41.068,187.354,55.551,24.845,46.686,33.465,97.906,38.821,9.973,35.239,34.231,67.353,37.683,5.864,35.523,26.865,65.754,31.266,7.004,28.698
E01000050,15.845,18.421,16.072,0.393,15.954,12.991,15.97,13.214,0.431,13.097,10.605,14.147,10.826,0.465,10.696,24.646,31.408,25.257,1.049,24.96,21.572,30.229,22.232,1.241,21.891,16.418,28.113,17.258,1.53,16.855,52.232,162.051,62.16,16.097,57.159,57.84,184.262,66.081,17.155,61.247,40.458,111.608,44.857,9.068,42.395,33.326,70.531,36.615,5.586,34.865,34.002,64.227,36.286,4.322,35.022,26.716,47.818,28.149,2.831,27.353
E01000051,15.938,18.699,16.25,0.502,16.068,12.977,16.764,13.321,0.583,13.135,10.586,14.202,10.948,0.573,10.748,24.797,32.261,25.626,1.34,25.146,21.666,32.688,22.576,1.681,22.031,16.738,28.121,17.754,1.831,17.109,51.873,170.105,65.535,20.685,58.146,57.693,211.396,70.218,23.263,62.511,40.042,120.138,47.176,12.61,42.85,33.172,72.698,38.127,7.23,35.593,34.052,69.332,37.474,5.695,35.535,26.657,50.179,28.977,3.841,27.65
E01000052,15.704,21.119,16.152,0.619,15.95,13.003,17.216,13.435,0.623,13.207,10.608,17.684,11.237,0.948,10.875,24.656,41.61,25.952,1.958,25.228,21.622,35.575,23.057,2.094,22.268,16.462,41.138,18.672,3.345,17.42,55.276,249.404,72.379,24.769,62.861,58.999,188.259,73.994,22.309,65.802,41.771,174.884,54.268,18.762,46.964,34.084,92.309,39.819,7.831,36.833,34.129,63.953,38.129,5.344,36.182,27.027,62.197,30.881,5.417,28.74
E01000053,15.443,22.8,15.916,0.802,15.669,12.714,19.306,13.157,0.66,12.966,10.123,12.532,10.387,0.361,10.263,24.022,43.471,25.176,2.148,24.495,21.328,40.809,22.911,1.995,22.383,15.198,23.278,16.15,1.298,15.711,45.493,375.628,63.101,34.267,52.11,51.153,307.863,65.173,25.024,57.039,34.341,112.083,41.712,10.824,38.097,30.265,120.029,36.455,10.454,32.935,31.208,80.41,34.988,5.707,33.07,23.789,42.392,25.969,2.881,24.997
E01000054,15.343,15.893,15.425,0.085,15.407,12.651,13.254,12.733,0.082,12.716,10.1,10.716,10.227,0.081,10.213,23.839,25.112,24.018,0.193,23.969,20.956,22.754,21.266,0.286,21.199,14.941,16.672,15.255,0.259,15.182,42.824,59.331,46.094,2.206,45.894,49.084,66.526,51.365,2.302,50.736,32.874,46.318,35.129,1.886,34.61,29.317,35.868,30.437,0.922,30.289,30.728,36.033,31.426,0.716,31.222,23.496,28.268,24.298,0.674,24.118
E01000055,15.361,16.085,15.458,0.102,15.433,12.649,13.343,12.74,0.102,12.712,10.171,11.781,10.345,0.226,10.277,23.888,25.595,24.161,0.256,24.096,20.902,22.919,21.245,0.318,21.17,15.101,19.327,15.607,0.613,15.464,43.523,65.712,47.201,2.926,46.283,49.658,71.026,52.765,2.98,52.014,33.949,68.321,37.63,4.958,36.291,29.562,38.67,30.955,1.196,30.637,30.932,37.381,31.888,0.905,31.66,24.007,35.473,25.246,1.698,24.771
E01000056,15.356,17.337,15.608,0.23,15.549,12.664,14.724,12.908,0.224,12.851,10.076,11.725,10.286,0.253,10.202,23.836,29.061,24.404,0.605,24.228,21.136,28.135,22.203,0.833,22.048,14.906,21.348,15.714,0.987,15.381,42.614,115.665,49.964,8.03,47.561,48.953,114.717,55.091,6.931,53.064,32.655,70.265,37.736,5.87,35.801,29.277,54.88,32.152,3.035,31.239,30.685,47.845,32.531,1.988,31.972,23.398,35.272,25.067,1.885,24.455
E01000415,15.313,16.44,15.403,0.101,15.38,12.699,13.621,12.817,0.098,12.804,10.259,10.943,10.349,0.089,10.324,23.832,26.737,24.037,0.247,23.976,20.667,23.327,21.041,0.286,21.045,15.099,16.773,15.369,0.225,15.31,43.646,83.311,46.988,3.245,46.256,49.563,80.026,52.213,2.799,51.473,34.34,49.706,36.244,1.998,35.664,29.502,44.597,30.716,1.29,30.444,30.865,39.652,31.683,0.855,31.462,24.103,29.27,24.788,0.708,24.564
E01000315,15.394,20.575,15.688,0.715,15.481,12.751,17.852,13.037,0.696,12.842,10.275,15.005,10.524,0.566,10.361,24.106,37.828,24.876,1.887,24.325,21.002,35.284,21.773,1.959,21.221,15.224,32.006,16.073,2.01,15.491,46.105,220.876,56.535,24.207,49.781,55.263,211.395,63.901,21.784,57.806,37.215,167.013,43.759,15.552,39.259,31.067,91.096,34.808,8.626,32.241,33.239,72.098,35.778,5.711,34.074,25.735,63.919,27.97,4.858,26.508
E01000316,15.424,20.653,15.8,0.659,15.57,12.792,17.672,13.161,0.643,12.947,10.321,14.78,10.708,0.666,10.488,24.121,38.039,25.08,1.649,24.503,21.082,34.037,22.026,1.687,21.455,15.334,29.64,16.478,2.016,15.802,46.509,224.308,59.51,21.289,52.114,55.592,198.967,66.421,19.101,60.008,38.023,146.348,47.5,16.685,41.924,31.192,92.316,35.882,7.661,33.148,33.329,69.884,36.559,5.138,34.788,26.031,58.346,29.143,4.987,27.409
E01000317,15.422,18.393,15.622,0.427,15.504,12.801,19.986,12.995,0.624,12.873,10.321,18.042,10.529,0.599,10.407,24.114,31.914,24.639,1.11,24.326,21.082,40.423,21.59,1.674,21.263,15.325,37.895,15.898,1.746,15.547,47.556,172.32,56.249,17.013,51.647,55.45,267.365,61.146,18.385,57.697,37.845,190.427,42.07,11.999,39.586,31.216,67.726,34.036,5.311,32.544,33.291,80.577,34.83,4.511,33.912,25.979,69.031,27.305,3.613,26.513
